param1,param3,param11,param12,param13,param14,param15,param16,param17,param18,param21,external_id
145372740,1828,33172,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145372740
145373061,1508,24492,26000.00,487.07,84,13.45,15.60,45.97,41371.48,533.04,145373061
145373550,3420,1580,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145373550
145374114,1342,11658,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145374114
145375005,1071,15929,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145375005
145376761,1735,11265,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145376761
145377008,1566,11434,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145377008
145377725,3336,31664,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145377725
145382028,1634,8366,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145382028
145383342,1393,6607,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145383342
145384055,1228,15772,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145384055
145397556,1621,4379,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145397556
145397890,2632,2368,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145397890
145399400,2332,2668,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145399400
145404994,3238,36762,40000.00,749.34,84,13.45,15.60,70.73,63648.56,820.07,145404994
145406733,1400,7600,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,145406733
145409686,1519,5481,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,145409686
250951703,1403,12597,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,250951703
250951851,2298,2702,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,250951851
250952629,1408,10592,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,250952629
250953030,1022,12978,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,250953030
